name,tcga code,MedianExpression,VarianceExpression
MID1,MESO,3.88068552526113,2.09061461158487
MID1,LUAD,3.89820835250872,2.09061461158487
MID1,OV,3.17216127101998,2.09061461158487
MID1,SARC,3.63226821549951,2.09061461158487
MID1,LUSC,3.57589592920539,2.09061461158487
MID1,UVM,3.88557436437143,2.09061461158487
MID1,ACC,0.84799690655495,2.09061461158487
MID1,PAAD,2.666239401293,2.09061461158487
MID1,COAD,2.89131305304932,2.09061461158487
MID1,UCEC,3.14567745519564,2.09061461158487
MID1,CHOL,3.08746284125034,2.09061461158487
MID1,PRAD,1.43295940727611,2.09061461158487
MID1,DLBC,0.286881147788161,2.09061461158487
MID1,LIHC,3.72574115650395,2.09061461158487
MID1,CESC,3.06350294230616,2.09061461158487
MID1,KIRP,4.02166240865526,2.09061461158487
MID1,BLCA,3.86195536414487,2.09061461158487
MID1,KIRC,2.83187724119167,2.09061461158487
MID1,UCS,2.86047164358525,2.09061461158487
MID1,LGG,4.74953426766926,2.09061461158487
MID1,LAML,0.214124805352847,2.09061461158487
MID1,GBM,4.27310769238968,2.09061461158487
MID1,ESCA,2.91736066358636,2.09061461158487
MID1,HNSC,3.08261028282455,2.09061461158487
MID1,SKCM,4.12018602753186,2.09061461158487
MID1,BRCA,2.0628420801446,2.09061461158487
MID1,KICH,3.16510798514454,2.09061461158487
MID1,TGCT,3.79053813562631,2.09061461158487
MID1,THCA,3.15902281628314,2.09061461158487
MID2,OV,1.6667118668626,1.45107881765179
MID2,LGG,2.26903314645524,1.45107881765179
MID2,SARC,1.63226821549951,1.45107881765179
MID2,KIRP,1.92399845327748,1.45107881765179
MID2,UVM,0.678071905112638,1.45107881765179
MID2,ACC,1.58014548442338,1.45107881765179
MID2,CESC,1.74846123300404,1.45107881765179
MID2,KICH,1.75274859140713,1.45107881765179
MID2,CHOL,3.65191274464578,1.45107881765179
MID2,PAAD,1.77394081762621,1.45107881765179
MID2,SKCM,0.111031312388744,1.45107881765179
MID2,UCS,1.78649938784219,1.45107881765179
MID2,TGCT,1.09691740532692,1.45107881765179
MID2,COAD,1.0973587314468,1.45107881765179
MID2,THCA,2.7210719940687,1.45107881765179
MID2,BRCA,2.46827185955349,1.45107881765179
MID2,LUSC,2.43260309829359,1.45107881765179
MID2,ESCA,1.45999416952143,1.45107881765179
MID2,LAML,0.0426443374084937,1.45107881765179
MID2,LUAD,2.44360665147561,1.45107881765179
MID2,LIHC,2.17312743348066,1.45107881765179
MID2,KIRC,2.17951105027151,1.45107881765179
MID2,UCEC,1.6507645591169,1.45107881765179
MID2,BLCA,2.25096157353322,1.45107881765179
MID2,DLBC,0.01435529297707,1.45107881765179
MID2,MESO,2.71589337054761,1.45107881765179
MID2,PRAD,2.73984810269933,1.45107881765179
MID2,HNSC,2.35842138871251,1.45107881765179
MID2,GBM,2.0249896013539,1.45107881765179
RNF207,MESO,3.1586601753465,2.42085933493918
RNF207,OV,3.42415560475824,2.42085933493918
RNF207,LGG,2.64385618977473,2.42085933493918
RNF207,GBM,1.3949689344901,2.42085933493918
RNF207,THCA,2.98274208644044,2.42085933493918
RNF207,ESCA,3.5630899744116,2.42085933493918
RNF207,UCS,2.51348853314052,2.42085933493918
RNF207,UCEC,3.68369645430652,2.42085933493918
RNF207,BRCA,3.11845675124237,2.42085933493918
RNF207,BLCA,3.72574115650395,2.42085933493918
RNF207,LUSC,2.9406732433146,2.42085933493918
RNF207,PAAD,4.39594935165814,2.42085933493918
RNF207,TGCT,0.589564414386076,2.42085933493918
RNF207,KIRC,3.88947354253111,2.42085933493918
RNF207,HNSC,2.71488496635918,2.42085933493918
RNF207,LIHC,3.4944156103975,2.42085933493918
RNF207,SKCM,2.32768736417605,2.42085933493918
RNF207,SARC,1.4905701304462,2.42085933493918
RNF207,LAML,1.75702324650746,2.42085933493918
RNF207,ACC,4.89336221076387,2.42085933493918
RNF207,PRAD,3.79805051476751,2.42085933493918
RNF207,CESC,3.0071955014042,2.42085933493918
RNF207,CHOL,2.73552217729654,2.42085933493918
RNF207,KIRP,4.66206911647277,2.42085933493918
RNF207,UVM,2.09423606984577,2.42085933493918
RNF207,DLBC,0.150559676575381,2.42085933493918
RNF207,COAD,2.98847964448728,2.42085933493918
RNF207,LUAD,4.17072627613155,2.42085933493918
RNF207,KICH,4.18189764310839,2.42085933493918
TRIM15,THCA,0,1.89933037510792
TRIM15,TGCT,0.01435529297707,1.89933037510792
TRIM15,HNSC,0.0908375307074484,1.89933037510792
TRIM15,LGG,0.0285691521967709,1.89933037510792
TRIM15,LAML,0.01435529297707,1.89933037510792
TRIM15,BRCA,0.01435529297707,1.89933037510792
TRIM15,ACC,0,1.89933037510792
TRIM15,CHOL,0.070389327891398,1.89933037510792
TRIM15,LUSC,0.0426443374084937,1.89933037510792
TRIM15,PAAD,1.16922647017752,1.89933037510792
TRIM15,COAD,3.384047159488,1.89933037510792
TRIM15,KIRC,0.0285691521967709,1.89933037510792
TRIM15,MESO,0,1.89933037510792
TRIM15,PRAD,0.01435529297707,1.89933037510792
TRIM15,DLBC,0.01435529297707,1.89933037510792
TRIM15,KICH,0.0565835283663675,1.89933037510792
TRIM15,KIRP,0,1.89933037510792
TRIM15,OV,0.070323896577421,1.89933037510792
TRIM15,GBM,0.01435529297707,1.89933037510792
TRIM15,LIHC,1.46466826700344,1.89933037510792
TRIM15,UCEC,0.0426443374084937,1.89933037510792
TRIM15,BLCA,0.0285691521967709,1.89933037510792
TRIM15,UCS,0.291807678292279,1.89933037510792
