name,tcga code,MedianExpression,VarianceExpression
MID1,KIRP,9.48664728771613,2.49271741335506
MID1,LAML,3.0049262577943,2.49271741335506
MID1,BRCA,7.17224747307467,2.49271741335506
MID1,THCA,7.39958982485412,2.49271741335506
MID1,CHOL,7.67441495127341,2.49271741335506
MID1,LUAD,8.91376007809034,2.49271741335506
MID1,READ,9.53204345336691,2.49271741335506
MID1,LUSC,9.76515346912467,2.49271741335506
MID1,PRAD,8.94346719048963,2.49271741335506
MID1,LIHC,8.52832517084904,2.49271741335506
MID1,TGCT,7.70829292437767,2.49271741335506
MID1,LGG,8.95065503791869,2.49271741335506
MID1,KICH,6.8818853091487,2.49271741335506
MID1,BLCA,9.927563120928,2.49271741335506
MID1,SKCM,8.79693188883065,2.49271741335506
MID1,UVM,7.69765033684768,2.49271741335506
MID1,PCPG,7.84913608557315,2.49271741335506
MID1,SARC,9.5548075415309,2.49271741335506
MID1,GBM,9.16196832132527,2.49271741335506
MID1,PAAD,8.9231148254761,2.49271741335506
MID1,STAD,9.3135855435127,2.49271741335506
MID1,KIRC,9.97376910470276,2.49271741335506
MID1,ESCA,9.47886115074535,2.49271741335506
MID1,OV,8.85423846471798,2.49271741335506
MID1,ACC,8.18236952195089,2.49271741335506
MID1,UCEC,9.14389906077571,2.49271741335506
MID1,MESO,8.58864718332821,2.49271741335506
MID1,THYM,8.55701488175775,2.49271741335506
MID1,COAD,9.59201061199164,2.49271741335506
MID1,HNSC,9.45362454609363,2.49271741335506
MID1,CESC,9.5923277519235,2.49271741335506
MID1,UCS,9.43781448027618,2.49271741335506
MID1,DLBC,5.23695416047394,2.49271741335506
MID2,LUAD,8.35129263167153,2.17690496614418
MID2,UVM,6.00127083855243,2.17690496614418
MID2,KIRP,8.13640416363312,2.17690496614418
MID2,GBM,7.70294579486746,2.17690496614418
MID2,ESCA,8.34648072432193,2.17690496614418
MID2,SARC,8.42929793372404,2.17690496614418
MID2,LIHC,8.50720396555761,2.17690496614418
MID2,LGG,8.14099843739268,2.17690496614418
MID2,SKCM,7.05059964414719,2.17690496614418
