gene
MID2
TRIML1
TRIM2
TRIML2
TRIM3
TRIM4
TRIM5
TRIM6
TRIM7
TRIM8
TRIM9
TRIM10
TRIM11
TRIM13
TRIM14
TRIM15
TRIM16
TRIM17
MID1
PML
MEFV
TRIM21
TRIM22
TRIM23
TRIM24
TRIM25
TRIM26
TRIM27
TRIM28
TRIM29
TRIM31
TRIM32
TRIM33
TRIM34
TRIM35
TRIM36
TRIM37
TRIM38
TRIM39
TRIM40
TRIM41
TRIM42
TRIM43
TRIM44
TRIM45
TRIM46
TRIM47
TRIM48
TRIM49
TRIM50
TRIM51
TRIM52
TRIM54
TRIM55
TRIM56
TRIM58
TRIM59
TRIM60
TRIM61
TRIM62
TRIM63
TRIM64
TRIM65
TRIM66
TRIM67
TRIM68
TRIM69
TRIM16L
TRIM71
TRIM72
TRIM73
TRIM74
TRIM75
CMYA5
TRIM77
RNF152
RNF207
TRIM51G
TRIM43B
TRIM49B
TRIM64B
TRIM64C
TRIM49D2
TRIM49C
