OncotreePrimaryDisease,ModelID,DepmapModelType,OncotreeCode,OncotreeSubtype,tcga code
Sarcoma,ACH-001802,DDLS,DDLS,Dedifferentiated Liposarcoma,SARC
Sarcoma,ACH-000505,LMS,LMS,Leiomyosarcoma,SARC
Sarcoma,ACH-002785,LMS,LMS,Leiomyosarcoma,SARC
Sarcoma,ACH-002784,MFH,MFH,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,SARC
Sarcoma,ACH-001270,SYNS,SYNS,Synovial Sarcoma,SARC
Sarcoma,ACH-002271,MFH,MFH,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,SARC
Thyroid Carcinoma,ACH-000191,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001307,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001350,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001321,THME,THME,Medullary Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001306,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-002041,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-002397,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000174,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000903,THFO,THFO,Follicular Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001384,THFO,THFO,Follicular Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001528,THPA,THPA,Papillary Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-002148,THPA,THPA,Papillary Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001356,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-001443,THAP,THAP,Anaplastic Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000456,THPD,THPD,Poorly Differentiated Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000058,THFO,THFO,Follicular Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000716,THFO,THFO,Follicular Thyroid Cancer,THCA
Thyroid Carcinoma,ACH-000897,THFO,THFO,Follicular Thyroid Cancer,THCA
Uterine Carcinosarcoma,ACH-000302,UCS,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
Uterine Carcinosarcoma,ACH-000407,UCS,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
Uterine Carcinosarcoma,ACH-001495,UCS,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
Uterine Carcinosarcoma,ACH-002046,UCS,UCS,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
Uterine Corpus Endometrioid Carcinoma,ACH-000831,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000864,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000879,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000909,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000928,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000940,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000941,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000946,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000954,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000173,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000192,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000293,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000435,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000990,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000993,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000994,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000996,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-001042,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-001517,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-001518,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-002026,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-002027,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000961,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000972,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000974,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uterine Corpus Endometrioid Carcinoma,ACH-000978,UCEC,UCEC,Endometrial Carcinoma,UCEC
Uveal Melanoma,ACH-001441,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-001554,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002010,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002011,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002014,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002015,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002016,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002017,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002018,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002687,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002925,UM,UM,Uveal Melanoma,UVM
Uveal Melanoma,ACH-002926,UM,UM,Uveal Melanoma,UVM
